(be) free from/of ～,～がない、?を免れた/免除された
 bark[動],ほえる
 barrier[名],障壁、障害
 battery[名],電池、バッテリー
 bedtime[名],就寝時刻
 beforehand[副],前もって、あらかじめ
 behave[動],ふるまう、行動する
 behind[副],後ろに
 being[名],存在、生き物
 belong[動],所属している
 below[副],下に、下方に
 bend[動],曲げる、曲がる、身をかがめる
 benefit[名],利益、恩恵、便益、利点、福利厚生
 bias[名],偏見、先入観
 bill[名],法案
 bitterly[副],ひどく、激しく、苦々しそうに
 blame[動],責める、非難する、～のせいにする
 blind[形],目の不自由な、盲目の、見通しの悪い
 blood[名],血、血液
 boil[動],沸騰する、ゆでる、わかす
 bolt[名],ボルト
 bomb[名],爆弾
 bowl[名],（調理などで使う）ボウル、鉢、容器
 branch[名],支店、部署、部門
 breathing[名],呼吸、息をすること
 breed[動],飼育する、繁殖させる
 bright[形],明るい、輝いている
 burning[形],燃えている、激しい
 bush[名],茂み、低木
 buyer[名],買い手、バイヤー
 bypass[動],迂回する
cabinet[名],内閣
 calm[形],冷静な、穏やかな
 candidate[名],候補者
 capable[形],能力がある
 capital[名],資本金、資本
 capital[形],主要な、極めて重要な
 carbon[名],炭素、カーボン（紙）
 care[名],世話、注意、ケア
 casual[形],（服装が）カジュアルな、（出来事が）時々の、偶然の
 cause[動],引き起こす、原因となる、もたらす
 ceiling[名],天井
 cell phone[名],携帯電話
 certainly[副],確かに、疑いなく、(返答で）承知しました。
 challenge[名],課題、難問、挑戦
 chamber[名],部屋、応接室、議院
 character[名],（小説などの）登場人物、キャラクター
 characterize[動],特徴づける
 charity[名],慈善、慈善団体
 charter[動],（乗物などを）借り上げる、認可する
 chase[動],追いかける
 check[動],点検する、確かめる、検査する
 check[名],（レストランの）伝票
 chemical[形],化学の
 chemist[名],化学者
 chew[動],噛む
 childish[形],子供じみた
 chill[動],冷える、冷やす
 chilly[形],肌寒い、冷える
 chimney[名],煙突
 Chinese[名],中国語、中国人
 Chinese[形],中国の、中国人の
 choose[動],選ぶ
 chose[動],chooseの過去形
 circumstance[名],事情、状況
 circus[名],サーカス
 claim[動],要求する、言い張る、主張する
 class[名],（社会の）階級
 clinic[名],診療所、クリニック
 close[形],密接な、親密な、近い
 code[名],暗号、符号
 collapse[名],崩壊
 collection[名],収集、採集、集めたもの
 collective[形],集団の、共同の
 colonial[形],植民地の
 comb[名],くし
 combine[動],組み合わせる、結合する
 command[名],命令
 commitment[名],傾倒、献身、約束
 commonly[副],一般（的）に、普通に　
 companion[名],仲間、相手、連れ
 comparatively[副],比較的に
 comparison[名],比較、対比
 competition[名],競争、試合
 competitive[形],競争的な、競争力のある、競争の激しい
 complex[形],複雑な、複合の
 complicated[形],複雑な
 complication[名],複雑、混乱、合併症
 component[名],構成要素、部品
 composition[名],構成、作曲、作文
 compulsory[形],必修の、強制的な、義務の
 concentration[名],集中
 concern[名],関心事、懸念、心配
 condemn[動],非難する
 confidential[形],機密の、マル秘の
 confirm[動],（真実であることを）確認する、裏付ける
 conflict[名],争い、対立、紛争
 confused[形],困惑した
 connect[動],つなぐ、接続する
 connection[名],接続、連結、関連、(交通機関の)乗り換え
 consciousness[名],意識
 constant[形],不変の、一定の、絶え間のない
 construct[動],建設する、組み立てる、構築する
 consume[動],消費する
 contact[動],連絡を取る、接触する
 container[名],容器
 contrary[名],（the ～）正反対、逆
 contribution[名],貢献、寄与
 conversely[副],逆に
 cooperate[動],協力する
 cost[名],コスト、費用、代償、犠牲
 cotton[名],綿
 counterpart[名],相当/対応する物（人）
 courtesy[名],礼儀正しいこと、優遇、優待（券）
 cousin[名],いとこ
 crack[名],割れ目、ひび
 crawl[動],はう、はって進む
 creative[形],独創的な、想像力に富んだ
 credit[動],（功績などを）認める、（学生に）単位を与える
 criminal[形],犯罪の
 crossing[名],横断、交差点
 crowd[名],群衆、人込み
 crowded[形],混雑した、いっぱいの
 cruise[動],巡航する
 crush[動],押しつぶす、粉砕する
 cube[名],立方体
 cubic[形],立方の、体積の
 cue[名],合図、手掛かり
 cultivate[動],栽培する、育てる、養殖する
 cultural[形],文化の、文化的な
 cunning[形],悪賢い、ずるい、巧妙な
currency[名],通貨
 custom[名],習慣、慣習
 cycle[名],周期、循環
 daily[形],毎日の、日常の
 damage[動],損害を与える
 deadline[名],締切日（時間）、期限
 debate[名],議論、討論、論争
 declare[動],宣言する、布告する
 decline[動],衰退する、減少する
 deeply[副],深く
 defense[名],防衛
 definite[形],明確な、明白な
 delay[名],遅れ
 delegate[名],代表、使節
 delivery[名],配達、送付
 democratic[形],民主主義の
 deny[動],否定する
 depart[動],発車する、出発する
 department[名],部署、部門、（デパートの）売り場、(米国の)省
 depend[動],頼る
 deposit[動],預金する、預ける、保管する、堆積させる
 desert[名],砂漠
 deserve[動],～に値する
 desire[名],望み、願望
 detailed[形],詳細な
 determine[動],決定する、特定する
 develop[動],発達／発展させる、発達／発展する
 diagram[名],図、図表
 diet[名],食事、食習慣
 digest[動],消化する
 dinosaur[名],恐竜
 disappear[動],消える、いなくなる
 disappearance[名],消滅、失踪
 disappoint[動],がっかりさせる、失望させる
 disappointment[名],失望、期待外れ、落胆
 discipline[名],規律、しつけ、鍛錬
 discount[名],割引
 discover[動],発見する、理解する
 disease[名],病気、疾病
 divide[動],分ける、分割する
 divorce[名],離婚
 document[名],書類、文書
 domestic[形],国内の、国産の、家庭の
 domesticate[動],飼いならす、家畜化する
 donkey[名],ロバ
 doubt[名],疑い
 doubtful[形],疑わしい、ありそうもない
 downtown[副],繁華街/街の中心へ（で）
 dozen[名],ダース
 drag[動],引きずる、のろのろと動く
 drain[名],下水、排水
 dramatically[副],急激に、劇的に
 drown[動],溺死する
 due[形],（支払）期日で
 eager[形],熱望して、熱心な
 earnings[名],（労働の）収入、給料
 eastside[形],東側の
 ecological[形],生態の、環境保護の
 economical[形],経済的な、コストがかからない
 economics[名],経済学
 edit[動],（原稿など）を編集する
 editor[名],編集者
 educate[動],教育する
 effective[形],効果的な
 effectively[副],効果的に、事実上
 Egypt[名],エジプト
 elbow[名],肘
 elder[形],年上の
 electric[形],電気の、電動の
 elementary[形],初級の、初歩の、基本的な、小学校の
 emergency[名],緊急事態、非常時
 emphasize[動],強調する
 employee[名],被雇用者、従業員
 enemy[名],敵
 engage[動],～を従事させる
 engineer[名],技師、工学者
 ensure[動],保証する、確実にする
 enthusiasm[名],情熱、熱中
 enthusiastic[形],熱心な、熱狂的な、乗り気な
 environment[名],環境
 envy[名],ねたみ、嫉妬、羨望、うらやましさ
 episode[名],エピソード、挿話
 equivalent[名],同等品、相当するもの
 essential[形],必須の、不可欠の、本質に関わる
 estimate[動],見積もる、推定する
 evenly[副],均等に、公平に
 eventually[副],最終的には、結局は
 evolution[名],進化、発展
 evolve[動],進化する、発達する、発展する
 exactly[副],まさに、まさしく
 exam[名],試験
 excellent[形],とても優れた、すばらしい
 exception[名],例外
 excite[動],興奮させる
 excited[形],興奮した、うきうきした、わくわくした
 executive[名],重役、役員
 expect[動],予期する、期待する
 experimental[形],実験の、実験的な
 explore[動],探検する、探究する、調査する
 extension[名],内線、延長
extensive[形],広範囲にわたる
 extent[名],程度、規模、範囲
 extremely[副],極めて、極度に
 face[動],直面する、対峙する
 factory[名],工場
 fair[形],公平な
 fancy[名],（気まぐれな）好み
 fancy[形],装飾された、しゃれた
 fascinate[動],魅了する
 fate[名],運命、宿命
 fatigue[名],疲労
 fault[名],（過失の）責任、過ち
 favorite[形],お気に入りの、好みの
 feather[名],羽、羽毛
 federal[形],連邦の、連邦政府の
 feed[動],エサをやる、養う、食べる
 fighting[名],戦争、戦闘、戦い
 figure[名],人物
 firefighter[名],消防士
 firmly[副],固く、しっかりと
 fisherman[名],漁師
 fitness[名],健康、適合
 fix[動],修理する、直す、治す
 flash[名],閃光、ひらめき
 flat tire[名],パンク
 flatter[動],お世辞を言う、お世辞を言う、実物以上によく見せる
 flesh[名],(人・動物の）肉
 flex[動],を曲げる、屈伸する
 flexibility[名],柔軟性、適応性、順応性
 flight[名],飛行、（飛行機の）便
 flock[名],（鳥、ヒツジなどの）群れ
 foam[名],泡、あぶく、泡状のもの
 focus[動],焦点を合わせる、集中する
 fond[形],好きな、好んで
 footstep[名],（通例～s）足音、足跡
 forget[動],忘れる
 forth[副],前へ
 forward[副],前へ
 found[動],設立する、創設する
 foundation[名],基盤、基礎、土台
 fountain[名],噴水、泉
 freedom[名],自由
 freely[副],自由に
 frequently[副],しばしば、頻繁に
 freshman[名],大学1年生、新入生
 friendship[名],友情、親交
 function[動],働く、機能する
 funny[形],おかしな、こっけいな
 furniture[名],家具
 further[副],さらに、もっと遠くに、far の比較級
 galaxy[名],銀河
 garment[名],衣服、衣類
 gear[名],用具、道具
 gentle[形],優しい、親切な
 gesture[動],身ぶりをする
 giant[形],巨大な
 gift[名],プレゼント、贈り物
 glance[動],ちらりと見る
 glide[動],滑るように動く
 global warming[名],地球温暖化
 glue[名],糊、接着材
 goods[名],品物、商品、財、財産
 goose[名],ガチョウ、ガン
 gradual[形],徐々の、漸進的な、段階的な
 graduate[名],卒業生
 graduation[名],卒業（すること）
 grammar[名],文法
 grandchild[名],孫
 grocery store[名],食料雑貨店
 growth[名],成長、発展、増加
 guidebook[名],案内書
 hall[名],玄関（の広間）、（コンサートなどの）ホール、廊下
 halt[動],中止する、中断する
 handful[名],一握り（つかみ）（の～）
 handicap[名],不利な条件、困難、障害
 handsome[形],ハンサムな、端正な顔立ちの
 hard[形],かたい、確かな、熱心な、強固な
 hardly[副],ほとんど全く～しない
 harmless[形],無害の
 hedge[名],垣根、境界
 helicopter[名],ヘリコプター
 hesitate[動],遠慮する、躊躇する
 hesitation[名],躊躇、遠慮
 homeless[形],家のない
 horn[名],角、警笛
 hourly[形],毎時の、1時間ごとの
 humid[形],湿気の多い、湿度の高い
 hurricane[名],ハリケーン
 ideal[名],理想
 illegal[形],違法の、不法の
 imaginary[形],想像上の、空想の
 imitate[動],まねる、模倣する
 immediately[副],直ちに、すぐに
 immense[形],巨大な、非常に大きな
 impact[名],影響、反響、衝突
 impatient[形],気のせくような、せっかちな、我慢できない
 impulse[名],衝動
 incident[名],（偶発的）事故、事件
 inconvenience[名],不便、不都合
 independence[名],独立、自立
indicate[動],示す、指摘する
 indirect[形],間接的な、遠回しの
 individual[形],個々の、個人の
 inexpensive[形],手ごろな値段の、安い
 influence[名],影響、影響力
 initiative[名],主導権、新計画
 inner[形],内側の
 inquire[動],問い合わせる、尋ねる
 inquiry[名],質問、問い合わせ、照会、取り調べ、調査
 insert[動],挿入する
 inspect[動],調査する、検査する
 install[動],取り付ける、導入する、インストールする
 instantly[副],直ちに、即座に
 institution[名],機関、施設、学会、団体
 integrate[動],統合する、一体化する
 intellectual[形],知的な、知性のある
 intend[動],意図する、目的とする
 intensity[名],激しさ、強度
 intentional[形],意図的な、わざとの
 interpret[動],解釈する、通訳する
 interrupt[動],邪魔をする、妨げる
 interview[動],インタビューする、面接する
 intimate[形],親しい、親密な
 invader[名],侵入者
 invasion[名],侵入、侵略
 inventor[名],発明者
 investigation[名],調査、研究
 investor[名],投資家
 invitation[名],招待、招待状
 irritate[動],いらいらさせる、怒らせる
 isolated[形],孤立した、隔離された
 issue[動],発給/発行する、公表する
 issue[名],論点、問題
 ivory[名],象牙、牙、象牙質
 jar[名],広口瓶、つぼ
 jewelry[名],宝石類
 judgment[名],判断、意見、判定
 jungle[名],ジャングル、密林、迷宮
 just[副],ほんの、ただ～だけ、ちょっと
 justify[動],正当化する、正当だと証明する
 kind[名],種類
 kindergarten[名],幼稚園
 labor[名],労働、労働者
 lack[名],不足、欠乏
 lap[名],ひざから太ももの部分
 lately[副],最近、このごろ
 latest[形],最近の、最新の
 layer[名],層
 layout[名],配置、割付、見取り図
 leftover[名],（食べ物などの）残り物
 leisure[名],余暇、自由時間
 lend[動],（お金などを）貸す
 length[名],長さ
 liberty[名],自由、解放
 lifetime[名],一生、生涯
 lightning[名],雷、稲妻
 limit[動],制限する、抑制する
 limited[形],限られた、有限の
 liner[名],裏地、裏張り
 liquid[名],液体
 liquor[名],酒、蒸留酒
 list[動],（名簿などに）～を載せる、～を列挙する
 literary[形],文学の、文学的な
 litter[動],（ゴミなどを）散らかす、捨てる
 loaf[名],パンの１塊
 look[名],外見、見ること、表情、目／顔つき、様子
 loyal[形],忠実な
 maintenance[名],維持、整備
 majesty[名],威厳
 manage[動],経営する、管理する
 manager[名],管理者、経営者、支配人、マネージャー
 manner[名],方法、態度、（～s）礼儀
 manufacture[名],製造、生産
 massive[形],大きい、圧倒的な
 mate[動],交配する、交尾する
 mathematics[名],数学
 meanwhile[副],一方、その間に
 mechanic[名],（機械の）整備士、修理工
 mechanism[名],仕組み
 medium[名],媒体、手段
 meet[動],（要求などを）満たす
 mentally[副],精神的に
 mere[形],単なる、ほんの
 merely[副],単に
 mess[名],散乱、乱雑、ぐちゃぐちゃな状態
 metal[名],金属
 microwave[名],マイクロ波、電子レンジ
 mild[形],穏やかな、優しい、温暖な、まろやかな味の
 military[名],軍隊、軍部
 mine[名],鉱山
 minister[名],大臣、牧師
 minority[名],少数（派）
 miserable[形],みじめな、哀れな
 modify[動],変更する、修正する
 moist[形],湿った
 monument[名],記念碑、記念建造物
 moral[形],道徳上の、道徳に関する
 motel[名],モーテル
 motorbike[名],オートバイ
 movement[名],動き
 multiple[形],多数の、複数の、多様な
 murmur[名],つぶやき
 muscle[名],筋肉
 museum[名],博物館、美術館
 musician[名],音楽家
 naked[形],裸の、むき出しの
 nap[名],昼寝、仮眠
 nation[名],国、国家
 national[形],国の、国家的な、国立の、国民の
 navy[名],海軍、濃紺色
 necessary[形],必要な、不可欠の
 neighbor[名],隣人、近所の人
 nod[動],うなずく、うとうとする
 nod[名],うなずき、会釈、同意、賛同
 noticeable[形],目立つ、人目を引く、顕著な
 nowadays[副],近ごろは
 nowhere[副],どこにも～ない
 nuisance[名],厄介なこと/人、迷惑
 obey[動],従う、服従する
 obscure[形],不明瞭な、知られていない、曖昧な
 obviously[副],明らかに
 occasionally[副],時々、たまに
 occurrence[名],発生、出来事
 offense[名],違反、反則、侮辱
 offensive[形],侮辱的な、けんか腰の、不快な
 officially[副],正式に、公式に
 offshore[形],海外の、沖合の
 opening[名],空き、開店、開始、開会
 operate[動],操作する、（機械などが）作動する、運営する、働く
 optimistic[形],楽観的な、楽観主義の
 orchestra[名],オーケストラ
 order[名],秩序、規律、順番、調子
 originally[副],最初は、もともと
 outline[名],概略、輪郭
 outward[副],外側に
 over[副],～以上
 overall[形],全体の、全部の、総合的な
 overcome[動],克服する、乗り越える
 overlook[動],見落とす、見過ごす、大目に見る
 overseas[形],海外の
 overweight[形],太りすぎの、重量超過の
 own[動],所有する
 pace[名],速度、ペース
 Pacific[名],太平洋
 packet[名],小包、袋
 painfully[副],痛そうに、痛ましいほどに
 pan[名],平鍋、皿状のもの
 paper[名],新聞、文書、論文
 part-time[形],パートタイムの
 partially[副],部分的に
 particular[形],特定の、特別な
 party[名],政党、団体
 patch[名],小区画の土地、小さな土地
 patch[名],布片、継ぎ当て、当て布、斑点
 path[名],軌道、通り道、小道、進路、方向
 pathway[名],小道、経路
 patient[形],我慢強い、忍耐強い
 patrol[動],巡回する
 pay[名],給料
 peak[動],最大になる、最高になる、ピークに達する
 peak[名],（とがった）先端
 peer[名],同僚、仲間
 pension[名],年金、恩給
 perfect[形],完全な、完璧な
 period[名],（ある特定の）期間、時代
 permanent[形],永遠の、永久的な
 personally[副],自ら、個人的に
 perspective[名],視点、見方、遠近法、透視図法
 persuade[動],説得する
 phenomenon[名],現象、事象
 photographic[形],写真の、写真による
 pill[名],錠剤
 pine[名],マツ、マツの木、マツ材
 pit[名],穴、くぼみ
 pity[名],哀れみ、残念なこと
 plain[名],平原、平野
 plain[形],わかりやすい、単純な
 plant[名],設備、工場
 pledge[名],公約、誓約
 plenty[名],十分な量、たくさん
 poet[名],詩人
 poetry[名],詩歌
 pointed[形],先のとがった
 pointer[名],(地図・黒板などをさす)ポインター、ヒント、助言
 politics[名],政治、政治学、政治活動
 position[名],地位、職、身分
 positive[形],積極的な、肯定的な、プラスの、正の
 pot[名],深鍋、容器、植木鉢
 pound[名],ポンド（英国の通貨、重さの単位）
 power[名],（電気、ガスなどの）エネルギー、動力
 powerful[形],強力な、よく効く
 practical[形],実践的な、実用的な、実際に役立つ
 pray[動],祈る
 prayer[名],祈り、祈る人
 presence[名],存在、存在感、出席
 present[動],提出する、贈呈する
 pretend[動],ふりをする
 previously[副],前に、前もって
 priest[名],牧師、神父、聖職者
 primitive[形],原始的な、初期段階の、未開の
principal[形],主要な、第一の
 probably[副],多分、恐らく
 productive[形],生産性の高い、生産的な
 professional[名],プロ、専門家
 prominent[形],目立った、著名な、卓越した
 prompt[動],促す、駆り立てる
 promptly[副],すばやく、（時刻）きっかりに、即座に
 proper[形],適切な、適度の
 properly[副],適切に
 prospective[形],見込みのある、有望な、将来予想される
 prosperity[名],繁栄、成功
 protection[名],保護
 protest[名],抗議、異議、抗議行動
 proverb[名],ことわざ
 province[名],州、県、地方
 provision[名],供給、提供、準備、貯蔵品
 psychological[形],心理的な、精神的な
 publicity[名],宣伝、広告、知名度
 publisher[名],出版社、発行者
 pull[動],引く、引っ張る
 pupil[名],児童、生徒、弟子
 pursuit[名],（富などの）追求、実行、遂行
 quality[名],質、品質、特性、特質、良質
 quarrel[動],口論する
 quarter[名],4分の1、四半期（3ヶ月）
 quite[副],かなり、とても、まったく
 rapid[形],急な、速い
 rare[形],まれな、珍しい
 reaction[名],反応、反動
 realistic[形],現実的な
 reasonably[副],道理にかなって、かなり
 rebel[動],反抗する、反乱を起こす
 receipt[名],レシート、領収書、受領（書）
 receive[動],受ける、受け取る、もらう
 recent[形],最近の
 recession[名],景気の後退
 recording[名],録音、録画
 reduce[動],減らす、縮小する
 refer[動],言及する、参照する
 reform[動],改革する、改編する、再形成する
regardless of ～,～に関係なく、～に(も)かかわらず
 region[名],地域、地帯
 register[動],登録する、登記する
 regular[形],規則的な、定期的な、習慣的な、普通の
 reject[動],拒否する、拒絶する、却下する
 related[形],関係がある、関連した
 relatively[副],比較的
 remarkable[形],注目に値する、目立った
 removal[名],除去、移動
 remove[動],取り除く、取り去る
 rent[動],賃貸借をする
 reopen[動],再開する
 repair[動],修理する
 repair[名],修繕、修理
 repeat[動],繰り返す
 request[名],要請
 research[動],研究（調査）する
 researcher[名],研究者
 reside[動],住む
 resistance[名],抵抗、反抗
 resolution[名],決議、決意
 respect[名],尊敬、尊重
 respectable[形],ちゃんとした、下品でない、立派な
 respond[動],返信する、返答する
 response[名],返答、応答
 rest[名],休息
 restore[動],回復させる、復旧させる
 restraint[名],抑制、自制、遠慮
 restrict[動],制限する
 resulting[形],結果として生じる
 retreat[名],後退、退却
 reveal[動],明らかにする、（外部に）漏らす
 revival[名],復活
 revive[動],生き返らせる、復活させる
 reward[名],報酬、見返り
 ride[動],乗る
 ridge[名],山の背、尾根、稜線
 right[形],正しい、適切な
 rise[名],隆盛、興起、上昇
 romantic[形],（関係などが）恋愛の、ロマンチックな
 route[名],路線、道筋
 royal[形],王の、王室の
 rub[動],こする、摩擦する
 run[動],（会社などを）経営する
 rural[形],田舎の、農村の
 salesman[名],販売員
 saw[名],のこぎり
 schedule[動],予定を組む、日程を決める
 scholar[名],学者、奨学生
 scholarship[名],奨学金、育英資金、学識
 scientific[形],科学の、科学的な
 scold[動],叱る
 scramble[動],かき混ぜる、よじ登る、緊急発進する
 scrape[動],こすり取る、こすって滑らかにする
 scratch[名],引っかき傷、かすり傷
 secret[形],秘密の
 secure[形],安全な、保証された
 seesaw[名],変動、シーソー板
 seldom[副],めったに～ない、ほとんど～ない
 sensible[形],賢明な、分別のある
sensitive[形],敏感な、繊細な
 separate[動],分離する
 servant[名],召使い、使用人
 serve[動],（飲食物を）出す、給仕をする
 service[名],（通信・交通などの）公共事業、官公庁業務
 settle[動],（ある場所に）落ち着く、定住する
 settlement[名],定住（地）、入植（地）、開拓（地）
 severe[形],厳しい、（痛みなどが）激しい、（被害などが）ひどい
 shadow[名],影
 shame[名],恥、残念なこと
 shell[名],貝殻、殻、骨組み、外郭
 shift[動],（位置などを）移す、変える
 shock[動],衝撃を与える
 shoot[名],芽、若い芽
 shopkeeper[名],店主
 shortage[名],不足、不足額
 sigh[名],ため息
 sight[名],視覚、視力、見えること、光景、視界
 sightseeing[名],観光
 signal[名],信号、合図
 similarity[名],似ていること、類似、相似
 simply[副],単に
 sin[名],（宗教・道徳上の）罪
 skilled[形],熟練した、腕が良い、上手な、特殊技能を持つ
 skyscraper[名],超高層ビル、摩天楼
 slump[名],スランプ、落ち込み
 smart[形],賢い、利口な
 sole[形],唯一の
 somehow[副],どういうわけか、何とかして
 somewhat[副],多少、いくぶん
 sort[動],分類する
 source[名],（情報などの）源、出所
 spare[形],余分の、予備の
 specialize[動],専門とする
 species[名],（生物の）種
 specific[形],特定の、明確な、具体的な
 spectator[名],（スポーツなどの）観客
 spill[動],（液体などを）こぼす、撒き散らす
 spoil[動],（子供などを）甘やかす
 spokesperson[名],代弁者、スポークスマン
 spray[動],噴霧する
 spring[名],泉
 staff[名],（集合的に）職員、スタッフ
 stage[動],（劇などを）上演する、（催しを）開催する
 stake[名],杭
 starve[動],飢えに苦しむ、餓死する
 statue[名],像、彫像
 stem[名],茎、幹
 step[名],歩み、段階、手順、段
 stiff[形],硬い、硬直した、(競争が)激しい
 still[形],じっとしている、静止した
 stimulate[動],刺激する
 stomach[名],腹、胃
 story[名],階
 strain[名],緊張、重圧、負担
 strengthen[動],強める、強化する、強固にする
 stress[動],強調する
 string[名],ひも、糸、弦
 struggle[動],あがく、もがく、奮闘する
 stuff[名],物（事）
 subsequent[形],その後の、次の
 substitute[動],代用する、代わりになる
 suburb[名],郊外、近郊
 succeed[動],継ぐ、後任となる
 successfully[副],うまく
 successive[形],連続する、次の、歴代の
 suffering[名],不幸、苦しみ
 suicide[名],自殺
 summit[名],頂上、頂点、首脳／頂上会談（サミット）
 superior[形],よりすぐれた、上位の
 supervisor[名],監督者、上司
 supper[名],夕食
 surgeon[名],外科医
 surplus[名],余剰、黒字
 surprisingly[副],驚くほど、意外にも
 suspend[動],宙吊りにする、つり下げる
 swear[動],誓う、宣誓する
 sweat[名],汗
 sweep[動],掃く、一掃する
 symbol[名],象徴、記号
 sympathetic[形],同情的な、思いやりのある
 tail[名],尾、しっぽ
 tale[名],話、物語
 talented[形],才能のある、有能な
 teaching[名],教え、指導
 technology[名],科学技術、技術
 temperature[名],温度、気温、体温
 tendency[名],傾向
 term[名],（専門）用語、言葉
 terrible[形],ひどい、恐ろしい
 terrific[形],すばらしい、ものすごい
 terrify[動],怖がらせる、恐れさせる
 Thai[形],タイの、タイ人の、タイ語の
 thick[形],厚い、（スープなどが）濃い
 thief[名],泥棒
 thin[形],薄い、痩せた、細い
 thorough[形],徹底的な、完全な
 though[副],けれど
 thread[名],糸
 threat[名],脅威、脅し
thrill[動],ぞくぞくさせる
 throughout[副],始めから終わりまで
 tick[動],（時計が）カチカチ音をたてる、（英）チェックマークをつける
 tight[形],きつい、ぴったりとした、窮屈な
 tile[名],タイル
 tiny[形],とても小さな
 token[名],しるし
 tool[名],道具、工具
 topic[名],トピック、主題、話題
 trace[動],跡を追う、たどる
 traditionally[副],伝統的に、慣例上
 transform[動],変化させる、変質させる
 translate[動],翻訳する、転換する
 transparent[形],透明な、隠しだてのない
 transport[名],交通機関、輸送
 treaty[名],（国家間の）条約、協定
 trend[名],傾向、動向
 troop[名],部隊、兵隊
 truly[副],真に、忠実に
 trunk[名],幹
 trust[名],信頼、委託
 truth[名],真実、本当のこと
 tune[動],調節する、合わせる
 turn[名],順番、番
 twist[動],ねじる、ひねる、捻挫する
 typhoon[名],台風
 typical[形],典型的な
 ultimate[形],究極の、最終的な
 ultimately[副],最終的に、結局は
 undergo[動],（苦痛などを）経験する、（検査などを）受ける
 understanding[名],理解
 undertake[動],引き受ける、請け負う、着手する
 unfortunately[副],残念ながら、不運なことに、不幸にも
 unhappy[形],不満で、悲しい
 union[名],（労働）組合
 unit[名],単位、一構成単位、設備（装置）一式
 unity[名],単一（性）、統一、統合
 unwise[形],ばかげた、愚かな
 up-to-date[形],（情報などが）最新の
 upcoming[形],今度の、来たるべき
 upgrade[名],改良、アップグレード
 urgent[形],緊急の、至急の
 valid[形],妥当な、有効な、正当な
 various[形],さまざまな、多様な
 vase[名],花瓶
 verb[名],動詞
 via[前],～経由で
 video[名],ビデオ
 vine[名],つる植物、つる、ブドウの木
 vinegar[名],酢、食用酢
 visible[形],目に見える、明らかな
 visual[形],視覚の
 volcano[名],火山
 volume[名],容積、量、音量
 wander[動],歩き回る、さまよう
 warmth[名],暖かさ
 weakness[名],弱さ、弱点
 weave[動],織る
 well-known[形],有名な、よく知られた
 wheat[名],小麦
 wheel[名],車輪、車のハンドル
 wheelchair[名],車椅子
 whistle[動],口笛を吹く
 white-collar[形],オフィス労働の
 whole[形],全部の、全てを含んだ、完全な
 wicked[形],邪悪な、意地の悪い、不道徳な
 wilderness[名],荒野、原野
 wing[名],翼
 wisdom[名],英知、知恵
 withdraw[動],（現金を）引き出す、撤退する
 witness[動],（時代などが）～を示す、～を証明する
 witness[動],目撃する、直面する、経験する
 wonder[名],不思議な物、不思議な事
 work[名],作品
 workman[名],（肉体）労働者、作業員
 worm[名],虫、イモムシ
 worship[動],崇拝する
 wounded[形],（武器、凶器で）負傷した
 written[形],書かれた、文語の、筆記の
