 academic[形],学問の、学業の、大学の
 homeowner[名],住宅所有者
 horizontal[形],水平の、地平線の
 hospitality[名],歓迎、もてなし
 humanity[名],人類、人間、人間性
 identical[形],同一の
 identification[名],身分証明書、特定
 impact[名],影響、反響、衝突
 imply[動],暗に意味する、ほのめかす
 improvement[名],改良、改善
 inconvenience[名],不便、不都合
 index[名],指標、指数、索引
 infect[動],病気をうつす、感染させる
 informally[副],くだけて、非公式に
 injury[名],怪我
 innocent[形],無実の、無罪の、無邪気な
 inspector[名],検査官
 inspire[動],鼓舞する、感激させる、駆り立てる
 instance[名],例
 instinct[名],本能、直感
 insurance[名],保険
 intellectual[形],知的な、知性のある
 interaction[名],相互作用、（人と人の）交流
 interactive[形],相互に作用する、双方向性の
 interpret[動],解釈する、通訳する
 interrupt[動],邪魔をする、妨げる
 invasion[名],侵入、侵略
 invention[名],発明、考案、発明品
 invest[動],投資する
 investigation[名],調査、研究
 investor[名],投資家
 invisible[形],目立たない、目に見えない
 invitation[名],招待、招待状
 involvement[名],巻き込むこと、関わり合い
 irritate[動],いらいらさせる、怒らせる
 isolate[動],孤立させる、隔離する、分離する
 jam[名],渋滞
 justify[動],正当化する、正当だと証明する
 keen[形],（刃物などが）鋭い
 label[動],（ラベルを貼って）分類する、レッテルを貼る
 laboratory[名],実験室、研究室
 large-scale[形],大規模な、スケールの大きな
 launch[動],開始する、着手する、発射する、売り出す
 laundry[名],洗濯（物）
 lawn[名],芝生
 lease[名],賃貸借契約
 literally[副],文字通り
 litter[動],（ゴミなどを）散らかす、捨てる
 live[形],生きた、生きている、生の
 locally[副],地元で、原産地で
 locate[動],（場所などを）突き止める、特定する、見つける
 lonely[形],孤独な、ひとりぼっちの
 lot[名],1区画、敷地
 luxury[名],ぜいたく（品）
 majority[名],大多数、過半数
 make[動],～になる、～（の状態）にする
 mall[名],商店街、ショッピングモール
manufacture[動],製造する、生産する
 marvelous[形],驚くべき、素晴らしい
 masterpiece[名],傑作、代表作
 meantime[名],合間
 measurement[名],寸法、測定
 mechanic[名],（機械の）整備士、修理工
 memorial[形],記念の
 millionaire[名],百万長者、大富豪
 mineral[名],鉱物、ミネラル
 mining[名],採掘
 mixture[名],混合物
 mobile phone[名],携帯電話
 monument[名],記念碑、記念建造物
 motel[名],モーテル
 multiple[形],多数の、複数の、多様な
 naked[形],裸の、むき出しの
 nasty[形],不快な、いやな、意地の悪い
 nervous[形],神経質な、不安な、緊張した、神経の
 nightmare[名],悪夢
 notice[名],通知、貼り紙、掲示
 notion[名],概念、観念、考え
 nutrition[名],栄養
 obscure[形],不明瞭な、知られていない、曖昧な
 obstacle[名],障害（物）、邪魔なもの
 offshore[形],海外の、沖合の
 once ～[接],ひとたび～すれば
 online[形],オンラインの、ネット上の
 optimistic[形],楽観的な、楽観主義の
 optional[形],随意の、任意の
 order[名],秩序、規律、順番、調子
 orientation[名],説明会、オリエンテーション
 outdoor[形],戸外の
 outline[動],要点/概略を述べる
 overlook[動],見渡す
 partial[形],部分的な
 passionately[副],情熱的に
 penalty[名],刑罰、罰金
 penetrate[動],貫く、突破する、浸透する
 pension[名],年金、恩給
 permit[名],許可証
 personnel[名],職員、人員、人事部門
 perspective[名],視点、見方、遠近法、透視図法
 phase[名],段階、局面
 phenomenon[名],現象、事象
 pillar[名],柱、支柱
 pity[名],哀れみ、残念なこと
 plastic[形],ビニール製の、プラスチックの
 poisonous[形],有毒な、毒性のある
 possess[動],持っている、所有する
 postage[名],郵便料金、送料
 postpone[動],延期する、持ち越す
 potential[名],潜在力、将来性、可能性
 praise[動],称賛する、褒めたたえる
 predictable[形],予測可能な
 prejudice[名],偏見、先入観
 primarily[副],第一に、主として
 printing[名],印刷
 profile[名],人物紹介、プロフィール
 profound[形],深い、重大な
 project[動],見積もる
 prosper[動],繁栄する、繁盛する
 proverb[名],ことわざ
 province[名],州、県、地方
 provoke[動],挑発する、駆り立てる
 purchase[名],購入
 purely[副],全く、単に、純粋に
 pursue[動],追及する、追い求める
 qualification[名],資格、能力、適性
 qualified[形],適任の、有能な、資格のある
 racial[形],人種の、民族の
 raise[動],育てる、養う
 rank[動],順位を占める、位置する
 reasonable[形],程よい、適度な、手ごろな
 reckless[形],無謀な、向こう見ずの
 recognition[名],認識、評価、見覚え
 refreshment[名],軽い飲食物
 refrigerator[名],冷蔵庫
 regarding[前],～に関して、～に関する
 region[名],地域、地帯
 regional[形],地域の
 register[動],登録する、登記する
 related[形],関係がある、関連した
 remark[名],コメント、意見、寸評
 remarkable[形],注目に値する、目立った
 remedy[名],治療、矯正
 resident[名],住民、住人
 restore[動],回復させる、復旧させる
 restrict[動],制限する
 resume[動],再開する
 retirement[名],（定年）退職、引退
 revise[動],修正する、改訂する
 revolution[名],革命
 reward[動],報いる、報酬を与える
 reward[名],報酬、見返り
 rinse[動],すすぐ
 risky[形],危険な
 rival[動],匹敵する
 sacred[形],神聖な
 sanction[名],制裁
 scatter[動],散らばる、分散させる、まき散らす
scope[名],範囲、領域
 scratch[名],引っかき傷、かすり傷
 script[名],原稿、台本、文字
 seminar[名],セミナー、ゼミ
 sensitive[形],敏感な、繊細な
 setting[名],設定、背景、環境
 shallow[形],浅い
 share[名],占有率、分け前、割当て分
 share[名],(複数形で)株、株式
 sharply[副],急激に、急速に
 shelf[名],棚
 shortly[副],じきに、間もなく
 sigh[名],ため息
 sightseeing[名],観光
 sincere[形],誠実な、心からの
 skilled[形],熟練した、腕が良い、上手な、特殊技能を持つ
 skip[動],（順番などを）飛ばす、抜かす、（授業などを）さぼる、休む
 soar[動],上昇する、舞い上がる、急増する、高まる
 sore[形],（喉、筋肉などが）痛い、ひりひりする
 souvenir[名],みやげ物、記念品
 span[名],期間、継続時間
 specialize[動],専門とする
 specialized[形],専門化した、専門の
 speculation[名],（不確かな情報に基づく）推論、憶測
 spokesperson[名],代弁者、スポークスマン
 starve[動],飢えに苦しむ、餓死する
 status[名],地位、立場
 stem[名],茎、幹
 strain[動],負担をかける、緊張させる
 strictly[副],厳格に、厳密に
 strive[動],努力する
 substantial[形],かなりの、相当の
 substitute[形],代理の、代用の
 supervisor[名],監督者、上司
 supreme[形],最高の
 surgeon[名],外科医
 surprisingly[副],驚くほど、意外にも
 sustain[動],維持する、支える
 systematic[形],体系的な、組織的な
 tag[名],値札、（紐などで付ける）札
 tasty[形],おいしい、風味の良い
 tease[動],からかう、いじめる
 technological[形],技術の、科学技術の
 tenant[名],賃借人、入居者
 term[名],（専門）用語、言葉
 terminal[名],（バスなどの）終点、ターミナル
 terrace[名],連続住宅、テラスハウス、テラス
 terrific[形],すばらしい、ものすごい
 territory[名],領土、縄張り
 thorough[形],徹底的な、完全な
 thread[名],糸
 tiny[形],とても小さな
 touch[動],感動させる
 trace[名],痕跡、足跡
 traditional[形],伝統的な、従来の
 tragedy[名],悲劇、惨事
 transparent[形],透明な、隠しだてのない
 trap[動],閉じ込める、追い込む、罠でとらえる
 trend[名],傾向、動向
 troop[名],部隊、兵隊
 turn[名],順番、番
 typhoon[名],台風
 unacceptable[形],受け入れられない、容認できない
 undamaged[形],無傷の、損害を受けていない
 underline[動],強調する、～に下線を引く
 undress[動],衣類をとる
 upcoming[形],今度の、来たるべき
 update[動],最新のものに更新する
 upright[形],直立した、真っすぐな
 upset[名],混乱、動揺
 vacuum[名],真空
 vain[形],無駄な、無益な、無意味な、
 varied[形],多様な
 vegetarian[名],菜食（主義）者
 velvet[名],ベルベット、ビロード
 vessel[名],船、大型船、船舶
 via[前],～経由で
 violation[名],違反
 vivid[形],鮮明な、鮮やかな、生き生きとした
 warehouse[名],倉庫
 web[名],クモの巣、網状組織、（インターネットの）ウェブ
 well-known[形],有名な、よく知られた
 wisdom[名],英知、知恵
 worthy[形],（～に）値して、立派な、価値のある
 ～-oriented[形],～志向の
