 abuse[動],乱用する、虐待する
 guilt[名],有罪
 halfway[副],中間点で　途中で
 handwriting[名],（手書きの）字
 harvest[動],収穫する、刈り入れる
 head[動],導く、率いる、先頭に立つ
 hearing[名],公聴会
 heavenly[形],天国の、極楽の、素晴らしい
 heritage[名],伝統、遺産
 hidden[形],隠された
 Holland[名],オランダ
 hunt for[動],～を探す
 hurricane[名],ハリケーン
 imagination[名],空想、想像力
 immense[形],巨大な、非常に大きな
 imperial[形],帝国の、天皇（皇帝）の
 incorporate[動],合体させる、組み入れる
 incorrect[形],不正確な、不適当な
 infant[名],幼児、乳児
 inhabitant[名],住民、居住者、棲息動物
 injure[動],傷つける、けがをさせる、～を痛める
 injured[形],負傷した、怪我をして
 insert[動],挿入する
 inspection[名],調査、検査
 instruct[動],指示する、教える
 interim[名],しばらくの間、合い間
 Iran[名],イラン
 isolated[形],孤立した、隔離された
 issue[動],発給/発行する、公表する
 jail[名],刑務所、拘置所
 jewel[名],宝石
 jewelry[名],宝石類
 Jewish[形],ユダヤの、ユダヤ人の
 judgment[名],判断、意見、判定
 lab[名],研究室、ラボ、実習
 landing[名],着陸、上陸
 lastly[副],最後に
 laundry[名],洗濯（物）
 left-hand[形],左側の
 liberty[名],自由、解放
 lifetime[名],一生、生涯
 litter[動],（ゴミなどを）散らかす、捨てる
 lonely[形],孤独な、ひとりぼっちの
 loose[形],ゆるい、だぶだぶの
 lower[形],下の
loyal[形],忠実な
 magnetic[形],磁石の、人を引き付ける
 mammal[名],哺乳類、哺乳動物
 manual[形],体を使う、手動の、手作業の
 manufacture[動],製造する、生産する
 marked[形],著しい、顕著な
 markedly[副],著しく、顕著に
 marvelous[形],驚くべき、素晴らしい
 massive[形],大きい、圧倒的な
 matter[名],物質
 melt[動],溶ける、溶かす、融解する
 merchant[名],商人
 microwave[名],マイクロ波、電子レンジ
 mill[名],工場、製作所、製粉場
 mine[名],鉱山
 mobile[形],可動（移動）式の、流動的な
 monitor[動],監視する、観測する
 mount[動],すえつける、載せる
 navigation[名],運行指示、航行、飛行
 newborn[形],新しく生まれた
 nickel[名],ニッケル
 niece[名],姪
 nightmare[名],悪夢
 nomination[名],指名
 nonliving[形],生きていない
 notion[名],概念、観念、考え
 nuclear[形],核の、原子力の
 numerous[形],数多くの
 octopus[名],タコ
 offender[名],犯罪者、違反者
 offspring[名],子孫、子
 opponent[名],（試合、論争などの）相手、反対者、反対派
 Orient[名],東洋
 origin[名],起源、原産
 originally[副],最初は、もともと
 originate[動],生じる、始まる、（～に）起源がある
 overseas[形],海外の
 owe[動],（～to…を後ろに置いて）～は…のおかげだ
 panic[名],狼狽、パニック
 parcel[名],小包、小荷物
 pass[動],通過する、通過させる、（時が）経つ
 passenger[名],乗客、同乗者
 passionately[副],情熱的に
 pause[動],立ち止まる、一息つく
 peak[名],（とがった）先端
 peculiar[形],特有の、奇妙な
 pension[名],年金、恩給
 phenomenon[名],現象、事象
 philosopher[名],哲学者
 philosophy[名],哲学、考え方
 pill[名],錠剤
 pioneer[名],先駆者、開拓者
 pipeline[名],輸送官、パイプライン
 plentiful[形],沢山の、豊富な、十分な
 poisonous[形],有毒な、毒性のある
 pop[形],ポピュラーな、大衆向きの
 potential[形],潜在的な、可能性を秘めた
 powerless[形],無力の
 practically[副],ほぼ、ほとんど、実質的には
 precise[形],正確な、的確な
 prehistoric[形],先史時代の、有史以前の
 presently[副],現在は、ただ今
 preserve[動],保存する、保護する
 prisoner[名],囚人、捕虜
 procedure[名],手続き、手順
 prose[名],散文
 prosperity[名],繁栄、成功
 psychological[形],心理的な、精神的な
 publication[名],出版、公表、出版物
 publisher[名],出版社、発行者
 purchase[動],購入する
 purse[名],財布、ハンドバッグ
 pyramid[名],ピラミッド、角錐（すい）、ピラミッド型の階層構造
 qualified[形],適任の、有能な、資格のある
 racial[形],人種の、民族の
 random[形],無作為の、偶発的な、確率の
 reasonable[形],程よい、適度な、手ごろな
 rebel[動],反抗する、反乱を起こす
 recall[動],思い出す
 recital[名],リサイタル
 recycling[名],再生利用、リサイクル
 refrain[動],差し控える
 regularly[副],定期的に、規則正しく
 relaxation[名],息抜き、気晴らし
 relaxing[形],くつろがせる、リラックスさせる
 representation[名],表現、描写、代表
 resemble[動],～に似ている
 resent[動],憤慨する
 resign[動],辞職する、退く
 resist[動],抵抗する
 restrict[動],制限する
 result[動],生じる、結果となる
 revolution[名],革命
 reward[動],報いる、報酬を与える
 rhythmical[形],リズミカルな
 roar[動],うなる、ほえる
 rob[動],～から（金品を）奪う
 roller[名],転がる物、ローラー
 round-trip[形],往復の
 row[動],漕ぐ
 rumor[名],噂、風説
 sacred[形],神聖な
 sacrifice[名],犠牲
 salespeople[名],販売員
 sanction[名],制裁
 saying[名],ことわざ、格言、言い習わし
 scare[動],びっくりさせる、怖がらせる
 scenery[名],景色
 scope[名],範囲、領域
 scramble[動],かき混ぜる、よじ登る、緊急発進する
 seaport[名],海港
 seaweed[名],海草、海藻
 seize[動],捕まえる、襲う、占拠する、奪う
 sensible[形],賢明な、分別のある
 sentimental[形],感傷的な
 session[名],（会議、活動の）期間、集まり、会合
 sew[動],縫う
 sewing[名],裁縫
 shallow[形],浅い
 sharply[副],急激に、急速に
 shelter[名],シェルター、避難所、住まい
 Shinto[名],神道
 shiny[形],光る、磨かれた
 shoemaker[名],靴職人
 shortage[名],不足、不足額
 signature[名],署名
 significant[形],相当な、かなりの
 simplicity[名],単純さ
 sin[名],（宗教・道徳上の）罪
 slender[形],細身の、すらりとした
 slim[形],わずかな、ほっそりした
 slope[名],傾斜、スロープ
 smash[動],粉々に砕く
 so called[形],いわゆる
 solar system[名],（theを前に置いて）太陽系
 solid[名],固体、固形物質
 solo[名],独奏、独唱、ソロ
 some[副],約、おおよそ
 sophisticated[形],洗練された、教養のある、(機械などが)高性能な
 sound[形],健全な、正当な、しっかりした
 sour[形],酸っぱい
 spice[名],香辛料、スパイス、薬味
 spike[名],長くぎ、突起
 spinach[名],ホウレンソウ
 spray[動],噴霧する
 squeeze[動],押し込む、絞る、圧搾する
 standpoint[名],見地、観点
 stare[動],じっと見る
 statue[名],像、彫像
 stern[形],厳しい、厳格な
 stimulate[動],刺激する
 stranger[名],見知らぬ人
 subscription[名],予約購読、定期購読
 substance[名],物質
 substitute[形],代理の、代用の
 successfully[副],うまく
 suck[動],吸う
 suicide[名],自殺
 supreme[形],最高の
 surrender[動],降伏する、譲り渡す
 sweat[名],汗
 tackle[動],取り組む、立ち向かう
 tag[名],値札、（紐などで付ける）札
 tease[動],からかう、いじめる
 technically[副],厳密に言えば、専門的に
 telescope[名],望遠鏡
 tension[名],緊張
 territory[名],領土、縄張り
 the universe[名],宇宙
 thorough[形],徹底的な、完全な
 thrill[名],ぞくぞくする感じ、スリル
 tiny[形],とても小さな
 traffic jam[名],交通渋滞
 trail[名],跡、通った跡、小道、街道
 transfer[動],異動（転校）する/させる、移動する/させる
 trend[名],傾向、動向
 trial[名],裁判、審理
 trombone[名],トロンボーン
 truck[名],貨物自動車、トラック
 uncommon[形],めったにない
 undergo[動],（苦痛などを）経験する、（検査などを）受ける
 underwater[形],水面下の、水中の
 uneasy[形],不安な、落ち着かない
 unfold[動],開く、広げる、展開する
 unkind[形],不親切な
 unsteady[形],不安定な
 urban[形],都市の、都会の
 utility[名],(複)（水道、ガスなどの）公益事業
 utilize[動],使用する、利用する
 vacant[形],空いている、使われていない
 vacuum[名],真空
 vanish[動],消滅する、消えてなくなる、突然見えなくなる
 Vietnam[名],ベトナム
 vivid[形],鮮明な、鮮やかな、生き生きとした
 wage[名],賃金
 warehouse[名],倉庫
 weigh[動],重さが～だ
 whisper[動],ささやく
 widen[動],広げる
 wildlife[名],野生生物
 will[名],意志、遺言
 wisdom[名],英知、知恵
 worship[動],崇拝する
 worthless[形],価値のない
