"buchen, bucht,hat gebucht",予約する,
bunt,カラフルな、派手な,
"das Büro, -s ",会社、オフィス,
"die Cafeteria, -s ",カフェテリア、食堂,
chatten,チャットする、会話する,
"der Club, -s /",クラブ、倶楽部,
"Klub, -s",クラブ、倶楽部,
"der/das Comic, -s ",漫画,
"der Computer, - ",コンピューター,
"die Creme, -s/-n ",クリーム,
"da(r) (Bsp. darauf, darüber) ",そこ、だから、なぜなら,
dabei (sein),そこ,
dafür/dagegen sein,その代わり/その反面,
damals ,当時、その時、その後,
danke ,ありがとう,
dass ,〜ということ,
"die Datei, -en ",ファイル,
denken,思う、考える,
deshalb ,それゆえ、だから,
deutlich,はっきり、きっぱり、明白,
dick ,太い、濃い、厚い,
"das Ding, -e",物、事,
direkt ,直に、直接、直通、直ちに,
diskutieren,議論する、話し合う,
doch ,やっぱり、はい（肯定的な返答）、いいえ（否定的疑問に対する返答）,*強調するときにつける
dringend,緊急の、急ぎの,
drinnen ,中、屋内、内側,
drüben ,あそこ,
drücken,押す,
dumm,馬鹿げた、愚かな,
dunkel ,暗い、濃い,
dünn,薄い、細い,
"das E-Book, -s ",電子書籍、イーブック,
echt ,本物、本当に,
egal ,構いません、何でも,
eigen- ,自分の,
eigentlich,実は、実際には,
einig- ,いくつかの,
"das Einkaufszentrum, -en ",ショッピングセンター,
einpacken,入れる、詰める、包む,
eintragen ,書き込む、記入する,
einverstanden sein,同意する、賛成する,
einzel- ,単独で、個々に,
einziehen,入居する・引っ込める・はめ込む,
das Eis (Sg.) ,アイス,
endlich ,ついに、やっと,
eng,きつい、狭い,
"das Erdgeschoss,-e ",一階,
"die Erfahrung, -en ",経験、体験,
erinnern (sich),思い出す、覚える、思い出させる,
erkältet sein,風邪を引いている,
die Erlaubnis (Sg.),許可、免許、認可,
"die Ermäßigung,-en ",割引、値引き,
erreichen,達する、着く、到達する,
erst ,のみ、初、一番,
etwas ,何か、少し、少々,
"das Fach, ¨-er ",科目、専攻、学科、分野,
"die Abfahrt, -en ",出発、発車,
"der Fahrplan, ¨-e ",時刻表,
fallen,落ちる,
"der Fan, -s ",ファン,
fantastisch,素晴らしい,
fast,ほとんど、大体,
faul,怠ける、怠惰な,
"das Fenster, - ",窓,
die Ferien (Pl.),休暇,
"der Fernseher, - ",テレビ,
"das Fest, -e ",祭り、祭日、お祝い,
"das Festival, -s ",祭り、フェスティバル,
fett ,太った、こってりしている、脂っこい,
fit sein,健康でいる,
fleißig,真面目,
"der Flohmarkt, ¨-e ",フリーマーケット,
"der Flug, ¨-e ",フライト,
"der Fluss, ¨-e ",川,
"der Fotoapparat, -e ",カメラ,
fotografieren,写真をとる,
freiwillig,自発的に、進んで,
freundlich ,親切な、友好的な、気さくな,
frisch,新鮮、フレッシュ,
froh,嬉しい、楽しい,
früh,早い,
fühlen (sich),感じる、思う,
"der Führerschein, -e  ",運転免許、運転免許証,
die Fundsachen (Pl.),落し物、落し物センター,
furchtbar ,ひどい、恐ろしい,
"die Gabel, -n ",フォーク,
ganz,全て、すっかり、完全に,
"die Garage, -n ",車庫、ガレージ,
geehrt- ,拝啓,
gefährlich,危険,
"das Gegenteil , -e ",反対、逆、反対語、対極,
gegenüber,対して、向かい側,
"das Gehalt, ¨-er ",給料,
"die Geldbörse, -n ",財布,
genau ,ぴったり、正確に、まさに,
genug ,十分な,
"das Gerät, -e ",道具、装置、機器,
"das Gericht, -e",一品料理,
"gern, lieber, am liebsten ",喜んで,
das Geschirr (Sg.),食器、お皿,
"das Gesicht, -er ",顔,
gesund ,健康的な、健康、元気,
die Gesundheit(Sg.) ,お大事に、元気、健康,
"das Getränk, -e ",飲み物,
"das Gewitter, -",豪雨、嵐、雷,
"die Gitarre, -n ",ギター,
die Grippe (Sg.),インフルエンザ、風邪,
"der Hals, ¨-e ",首、喉,
"der Hamburger, - ",ハンバーガー,
"das Handtuch, ¨-er ",タオル,
hängen,飾る、掛ける,
hart,硬い、固い,
hässlich ,醜い、かっこ悪い,
"die Hauptstadt, ¨-e   ",首都,
"der Haushalt, -e ",家事,
"das Heft, -e ",ノート,
heiß ,熱い、暑い,
"die Heizung, -en",ヒーター,
"das Hemd, -en ",シャツ,
her/her-/-her ,こちらへ、ここ,
heraus/raus ,外、外へ,
herein/rein ,中、内側,
"der Herd, -e ",コンロ,
herstellen,作る、生産する,
herunterladen,ダウンロードする,
der Himmel (Sg.) ,空,
hinter ,裏、後ろ、後方の,
hoffen,希望する、望む、願う,
hoffentlich ,願わくば、うまくいけば、〜だといいのだが,
"die Homepage, -s ",ホームページ,
"die Hose, -n ",ズボン,
husten,咳をする,
"die Idee, -n ",アイデア,
informieren (sich) (über),教える、告げる、知らせる,
"die Insel, -n ",島,
"das Instrument, -e ",楽器,
intelligent,賢い、聡明な、知的な,
"das Interesse, -n ",興味、関心,
interessieren (sich),興味がある,
interessant ,面白い、興味深い,
"das Interview, -s ",インタビュー,
die Jeans (Pl.) ,ジーンズ,
"jeder, e, s ",全、各々、あらゆる,
jemand,誰か、ある人,
joggen,ジョギングをする,
"die Jugendherberge, -n",ユースホステル,
"der Kalender, - ",カレンダー,
kalt ,寒い、冷たい、肌寒い,
"die Kamera, -s ",カメラ,
der Käse (Sg.) ,チーズ,
"die Katze, -n ",猫,
"das Kaufhaus, -¨er ",デパート、百貨店,
"der Keller, - ",地下室,
die Kenntnisse (Pl.) ,知見、知識,
"die Kette, -n ",チェーン、ネックレス,
"die Kirche, -n ",教会,
klappen,うまくいく、祈る、畳む,
"das Klavier, -e ",ピアノ,
"das Kleid, -er",ドレス、ワンピース、服,
klug,賢い、頭がいい、利口,
komisch,変な、変わっている、面白い,
"der Kontakt, -e ",連絡、コンタクト、連絡先,
kontrollieren,チェックする、コントロールする、制御する、調節する,
"das Konzert, -e ",コンサート,
"der Körper, -",体、身体,
die Kosmetik (Sg.) ,化粧品,
kostenlos ,無料,
"das Krankenhaus, ¨-er ",病院,
"die Krankenkasse, -n ",健康保険,
"die Krankheit, -en ",病気,
"der Kredit, -e ",ローン、クレジット、貸し付け,
"die Kreuzung, -en ",交差点,
"der Krimi, -s ",推理小説、探偵小説、スリラー、ミステリー,
kühl ,涼しい,
kündigen,辞める、辞任する、追い出す,
"die Kunst, ¨-e ",芸術、アート,
"die Lampe, -n ",ランプ,
"die Landschaft, -en",景色、風景,
langweilig ,つまらない、退屈な,
"der/das Laptop, -s ",ノートパソコン,
"lassen, lässt, hat gelassen ",させる、残す,
leer,空、空の,
leihen,貸す、借りる,
liefern,届ける、引き渡す、受け渡す,
"der Link, -s ",リンク,
"der Löffel, - ",スプーン,
"die Lüge, -n ",嘘,
lügen ,嘘をつく,
die Lust (Sg.) ,熱意、乗り気、心待ち,
"der Magen, ¨- ",胃,
"die Mailbox, -en ",メールボックス、留守番電話、ボイスメール,
mal / das ,ちょっと、回、度、一度,
malen,描く、塗る,
manch- ,いくつかの、一部の,
manchmal ,時々,
"die Mannschaft,-en ",チーム、組,
"der Mantel, ¨- ",コート,
"der Markt, ¨-e ",市場、マーケット,
"das Medikament,-e ",薬,
meinen,思う、意味する、考える,
"die Meinung, -en",意見、主張,
meist- ,大半の、おおかた,
meistens,大抵、大体,
"die Menge, -n",数量、豊富、群衆、たくさん,
merken,気づく、感づく、感じる、覚える,
"die Messe, -n ",見本市、博覧会,
"das Messer, - ",ナイフ,
mindestens,せめて、少なくとも,
das Mineralwasser (Sg.) ,ミネラルウォーター,
"der Mitarbeiter, - ",従業員、同僚,
"das Mittagessen, -",昼食、ランチ,
"das Mittel, - ",手段、薬、洗剤,
"das Mobiltelefon, -e ",携帯電話,
"die Mode, -n ",ファッション、流行,
modern ,近代的、モダン,
"der Motor, -en ",エンジン、モーター,
"der Motorroller, - ",スクーター,
der Müll (Sg.) ,ゴミ,
"das Museum, -een ",博物館、  美術館,
die Musik (Sg.) ,音楽,
"die Mütze（ムッツェ）, -n ",ニット帽、ビーニー,
"der Nachbar, -n, die Nachbarin,-nen ",隣人、近所の人,
"die Nachricht, -en ",ニュース、メッセージ、知らせ,
die Nähe (Sg.),付近、近所、近く,
nass（ナス）,湿った、ジメジメ、濡れた,
die Natur (Sg.) ,自然,
natürlich ,当然、もちろん,
neben,近く、隣、そばに,
nebenan,近く、隣,
neblig,霧,
nennen,名付ける、呼ぶ、称する,
nervös,緊張する、神経質な、イライラする,
nett ,優しい、親切な,
niemand ,誰も、誰でも,
nirgends, どこにも,
"die Note, -n ",成績,
notieren,記す、書き留める、記入する,
"die Notiz, -en ",メモ、備忘録、通知、注記,
notwendig,必要な、当然、不可欠,
"die Nudel, -n ",麺、ヌードル,
nützlich,有用、役に立つ、有益、便利,
offen,開ける,
"das Ohr, -en ",耳,
online ,オンライン,
"die Orange, -n ",オレンジ,
organisieren,企画する、整理する,
"das Paar, -e ",ペア、カップル、組,
ein paar ,にさん、いくばく、少数、一対、1組,　
packen,包む、梱包する,
"das Paket, -e ",小包、荷物,
"das Parfüm, -s ",香水,
"der Park, -s ",公園,
parken,駐車する,
passen,合う、似合う,
passieren,起こる、生じる,
"das Passwort, ¨-er ",パスワード,
"die Person, -en ",人、人称,
"das Pferd, -e ",馬,
"die Pflanze, -n ",植物,
"die Pizza, -s/-en ",ピザ,
"das Plakat, -e ",プラカード、ポスター、看板,
planen,計画、プラン,
plötzlich ,突然、急に,
"die Portion, -en ",分け前,
"das Poster, - ",ポスター、張り紙,
"die Postkarte, -n ",ハガキ、ポストカード,
praktisch ,便利な,
preiswert ,安い,
privat, プライベートな、個人的な,
pro,毎、〜当たり,
probieren,試みる、試す、味見する,
"das Produkt, -e ",製品,
"das Programm, -e ",番組、プログラム,
"das Projekt, -e ",プロジェクト、計画,
prüfen,チェックする、確認する,
"der Pullover, - ",セーター,
putzen,磨く、綺麗にする、掃除する,
"die Qualität, -en ",品質,
das Quiz (Sg.) ,クイズ,
" das Radio, -s ",ラジオ,
raten,察する、勧める、言い聞かせる,
"das Rathaus, ¨-er ",市役所,
"das Rätsel, - ",パズル、謎、なぞなぞ,
rechnen,数える、見積もる、計算する,
recht haben,正しい、当然,
reden,話す、言う、語る,
reich,金持ち,
"der Reifen, - ",タイヤ,
"die Reihe, -n ",列、行、順番,
"die Reinigung, -en ",清掃、掃除、ドライクリーニング,
reiten,乗る、乗馬,　　
renovieren,建て直す、改装する,
"de Rentner, - / die Rentnerin, -nen ",年金受給者,
"der Rest, -e",残り、余り,　
"das Restaurant, -s ",レストラン,
"das Rezept, -e ",レシピ、処方箋,
das Rind ,牛肉,
"der Ring, -e ",指輪,
"der Rock, ¨-e ",スカート,
romantisch ,ロマンチック,
"die Rose, -n ",バラ,
"der Rücken, - ",背中,
"der Rucksack, ¨-e ",リュック,
rufen,呼ぶ、電話する,　
die Ruhe (Sg.),安静、休息、静か,
rund,丸い、約,
"der Rundgang, ¨-e ",ツアー、見回り,　
"die Sache, -n ",物、事,
sammeln,集める,
"der Satz, ¨-e ",文、文章,
sauber,きれい、整った,
sauer ,酸っぱい、イライラする,
schade ,惜しい、残念,
schädlich,損なう、害する、悪い,
schaffen ,作る、運ぶ、働く,
"der Schalter, - ",スイッチ、窓口、カウンター,
scharf ,鋭い、辛い,
schenken,あげる、与える、贈る,
"die Schere, -n ",ハサミ,
"das Schiff, -e ",船、ボート,
schimpfen,怒鳴る、叱る、小言を言う,
der Schirm ,傘,
"das Schlafzimmer, - ",寝室,
schlimm,悪い、しんどい、大変,
"das Schloss, ¨-er ",城、錠,　　
"der Schmerz, -en ",痛み,
schmutzig,汚い、汚れている,　
der Schnee (Sg.),雪,
schneiden (sich),切る,
schneien,雪が降る,
schrecklich,恐ろしい、凄い、ひどい、きつい,
schriftlich,書面で、文章で、筆記の,
schwanger,妊娠する,
"das Schwein, -e ",豚,
schwierig,難しい、困難,
die See (Sg) ,海,
der See,湖,
"die Seife, -n ",石鹸,
"die Seite, -n ",ページ、側、側面、脇,
selbst ,自分自身、自ら,
"die Sendung, -en ",放送、番組、プログラム,
der Service (Sg.) ,サービス,
setzen (sich),座る,
sicher,確か、必ず、はっきり、安全な,
singen,歌う,
"die Situation, -en ",状況,
sogar,さえ、すら、まで、むしろ,
sonnig ,晴れた,
sonst ,その他、さもないと、そうでなければ,
spannend ,エキサイティング,
sparen,節約する、貯金する、貯める、蓄える,
der Spaß (Sg.) ,楽しみ、楽しい,
spazieren gehen,散歩する,
"der Spaziergang, ¨-e ",散歩、散策,
speichern,保存する、保管する、貯める,
"das Spiel, -e ",ゲーム、遊び,
sportlich ,スポーティー,
"der Sportplatz, ¨-e ",運動場、グラウンド,
"die Sprechstunde, -n ",面会時間、内診、面会日,
"der Stadtplan, ¨-e ",地図,
"der Star, -s ",スター、有名人,
stark,強い、激しい、濃い,
stattfinden,起こる、行われる,
sterben,死ぬ、亡くなる,
"der Stiefel, - ",ブーツ,
"der Stift, -e",ペン、鉛筆、ボールペン,
"das Stipendium, -en ",奨学金,
"das Stockwerk, -e ",階、フロア,
stören,乱す、妨げる、邪魔する,
"der Strand, ¨-e ",海岸、砂浜、ビーチ,
streiten (sich),言い争う、争う、口論する,
streng,厳しい,
der Stress (Sg.) ,ストレス,
stressig,ストレスがある、辛い,
"das Stück, -e",一切れ、一枚、個、塊,
"der Stuhl, ¨-e ",椅子,
super ,素晴らしい,
"der Supermarkt, ¨-e ",スーパーマーケット,
"die Suppe, -n ",スープ,
surfen,サーフィンをする,
süß ,甘い、可愛い,
die Süßigkeiten (Pl.) ,お菓子,
sympathisch,〔人柄と容姿が〕魅力的な、人に好かれる、愛想が良い,
"das Tablet, -s ",タブレット,
"die Tablette, -n ",錠剤,
"die Tafel, -n ",黒板、掲示板,
das Taschengeld(Sg.) ,こずかい,
"die Tasse, -n ",カップ、〜杯,
(aus)tauschen,代える、交換する、替える,
"das Team, -s ",チーム,
teilen,分ける、分割する、切る,
teilnehmen,参加する、加わる,
"der Teller, - ",お皿,
das Tennis (Sg.) ,テニス,
"das Theater, - ",劇場,
tief ,深い,
"das Tier, -e ",動物,
"der Tipp, -s ",ヒント,
"der Titel, - ",タイトル,
toll ,素晴らしい,
"der Topf, ¨-e ",鍋,
"die Torte, -n ",ケーキ,
total ,完全に,
"die Tour, -en ",ツアー,
"der Tourist, -en, die Touristin, -nen",観光客,
tragen,運ぶ、持って行く、着る,
trainieren,鍛える、トレーニングをする,
"das Training, -s ",トレーニング,
"der Traum, ¨-e ",夢,
träumen,夢見る、夢をみる,
traurig ,悲しい,
trocken,乾く、乾燥,
"das T-Shirt, -s ",Tシャツ,
"die Tür, -en",ドア,
typisch,典型的な、定番,
üben,練習する、鍛える,
überall,どこでも、至る所,
übermorgen ,明後日,
übernachten,泊まる、一泊する,
übersetzen,翻訳する、訳す,
"die Übersetzung, -en ",翻訳、通訳,
umsteigen,乗り換える,
sich umziehen,着替える,
"der Umzug, ¨-e ",引っ越し、移転、転居,
unbedingt ,必ず、ぜひ、きっと、どうしても,
"der Unfall, ¨-e ",事故,
"die Universität, -en ",大学,
unterhalten (sich),話す、話し合う、語らう,
"die Unterkunft, ¨-e ",宿、宿泊施設,
unternehmen,企てる、行う、取り掛かる,
"der Unterschied, -e ",違い、差異,
untersuchen,調べる、検査する、診察する,
unterwegs sein,途中で,
verabredet sein,会う約束をしている,
"die Veranstaltung, -en ",催し、行事、イベント,
vereinbaren,取り決める、打ち合わせする、決める,
vergessen,忘れる,
vergleichen,比べる、比較する,
"das Verkehrsmittel, - ",交通機関、交通手段,
verletzen (sich),傷つける,
verlieben (sich),恋に落ちる、惚れる,
verlieren,失くす、落とす,
verpassen,乗り遅れる、乗り損ねる、見過ごす、見逃す,
verreisen,旅する、出掛ける,
verschieben,伸ばす、引き延ばす、遅らす,
verschieden,異なる、違う、各種,
"die Verspätung）,-en ",遅刻、遅れ、遅延,
versuchen,試みる、試す,
"der Vertrag, ¨-e ",契約、約束、合意,
"der Vogel, ¨- ",鳥,
voll ,満員、たっぷり、一杯、満杯,
"der Volleyball, ¨-e ",バレーボール,
vorbei,過去、過ぎ去って,
vorbereiten,準備する、支度する,
vorgestern ,一昨日,
vorher,あらかじめ、先に、前もって,
vorn(e) ,前、前方 ＊前方方向を示すイメージ,
vorwärts,前へ、前方、転送する ＊前へ進むイメージ,
wach,目がさめる、目覚める、眠らずに,
"der Wagen, – ",車,
wählen,選ぶ、決める,
wahr,本当、本物、真実の,
wahrscheinlich,多分、おそらく,
"der Wald, ¨-er ",森,
warm ,暖かい,
"die Wäsche, -n ",洗濯、洗濯物,
"die Webseite, -n ",Webサイト,
wechseln,替える、取り替える、入れ替える,
wecken,起こす、引き出す、覚ます,
weg/weg-,離れて,
"der Weg, -e ",道、手段,
wegen ,なぜなら、ゆえに、よって、〜のため,
weich,柔らかい,
weil ,なぜなら、〜のため、〜なので,
weinen,泣く,
wenigstens,せめて、少なくとも,
wenn ,もし、〜の時、いつ,
"die Werkstatt, ¨-en ",工房、修理屋,
"der Wettbewerb, -e ",コンテスト、大会,
wieder ,再び、また、もう一度,
wiederholen,繰り返す,
windig ,風の強い、風の吹く,
wirklich ,本当、本当に,
"der Witz, -e ",ジョーク、冗談,
witzig,面白い,
"das Wohnzimmer, - ",リビングルーム,
"die Wolke, -n ",雲,
"der Workshop, -s ",ワークショップ,
"der Wunsch, ¨-e ",希望、願い、望み,
wünschen ,欲する、願う,
"die Wurst, ¨-e ",ソーセージ,
"die Zahl, -en ",数字、数、番号,
"der Zahn, ¨-e ",歯,
zeichnen,描く、書く、絵をかく,
zeigen,見せる、示す、表す,
"die Zeitschrift, -en ",雑誌,
"das Zelt, -e",テント,
"das Zentrum, -en ",中心、中心部,
"der Zettel, - ",紙切れ、メモ、付箋、伝票,
"das Zeugnis, -se",成績表、証明、証明書、認可証,
 (an-)/(aus)ziehen,着る、着せる/服を脱ぐ、引きはらう、立退く,　　
"das Ziel, -e ",目標、ゴール,
"der Zirkus, -se ",サーカス,
"die Zitrone, -n ",レモン,
"der Zoo, -s ",動物園,
der Zucker (Sg.) ,砂糖,
zuerst,最初に,
zuhören,聞く,
zuletzt,ついに、最後に、結局,
zum Beispiel ,例えば、例,
zumachen,閉める、閉じる,
